,0
2015-04-19,5972039.377823681
2015-04-20,4973431.080681249
2015-04-21,4698087.8601951795
2015-04-22,4468582.822571322
2015-04-23,4239573.305722042
2015-04-24,5112734.329219429
2015-04-25,6795574.352987316
2015-04-26,5863731.874682869
2015-04-27,4758526.459776266
2015-04-28,4496426.708529933
2015-04-29,4315738.19858086
2015-04-30,4154607.832001887
2015-05-01,5246553.18588156
2015-05-02,6461495.886581051
2015-05-03,5620653.169808643
2015-05-04,4621695.330575226
2015-05-05,4624034.834861495
2015-05-06,4533810.554432463
2015-05-07,4465547.668103355
2015-05-08,5482344.519270691
2015-05-09,7033497.036691607
2015-05-10,6157050.552287708
2015-05-11,5189559.475260924
2015-05-12,5005046.260699919
2015-05-13,4856704.402983317
2015-05-14,4700267.666666414
2015-05-15,5648173.9146674955
2015-05-16,7285352.293437317
2015-05-17,6311282.289860745
2015-05-18,5436529.552592118
2015-05-19,5111851.683265332
2015-05-20,5069422.350728873
2015-05-21,4746804.837400813
2015-05-22,5596974.386407787
2015-05-23,7231165.553523554
2015-05-24,6067964.78361387
2015-05-25,4981862.051942855
2015-05-26,4862031.917164856
2015-05-27,4558590.923889958
2015-05-28,4432312.148417511
2015-05-29,5546378.826097083
2015-05-30,6956773.766738195
2015-05-31,5961121.088406194
2015-06-01,4967188.697956328
2015-06-02,4470568.997672455
2015-06-03,4222500.132935692
2015-06-04,4249724.322992195
2015-06-05,5538247.688972756
2015-06-06,7249523.820423082
2015-06-07,6230088.664916543
2015-06-08,5387262.538075718
2015-06-09,5138763.21913302
2015-06-10,5079372.94076077
2015-06-11,4854099.349794291
2015-06-12,5828548.343602853
2015-06-13,7472310.86951027
2015-06-14,6442112.615161079
2015-06-15,5447763.913718931
2015-06-16,5138440.831123061
2015-06-17,4949449.895075262
2015-06-18,4770462.328716549
2015-06-19,5709946.151972156
2015-06-20,7265129.175816503
2015-06-21,6264885.7145154225
2015-06-22,5195087.893340446
2015-06-23,5072833.199669143
2015-06-24,4723618.041721461
2015-06-25,4623467.652801274
2015-06-26,5603408.126180011
2015-06-27,7022574.532871959
2015-06-28,6108413.430234815
2015-06-29,5061047.342623615
2015-06-30,4811415.674334486
2015-07-01,4652043.820146621
2015-07-02,4063474.0616096165
2015-07-03,4994336.635033034
2015-07-04,6766162.549719974
2015-07-05,5966678.606203554
2015-07-06,5029207.377176452
2015-07-07,5022944.61547457
2015-07-08,4785979.498465176
2015-07-09,4793108.9149488425
2015-07-10,5721349.756986215
2015-07-11,7414302.532547169
2015-07-12,6454963.064285716
2015-07-13,5375202.986351671
2015-07-14,5254941.412382147
2015-07-15,5119748.718063241
2015-07-16,4939572.785855994
2015-07-17,5816011.630351736
2015-07-18,7422858.178796776
2015-07-19,6317467.468362213
2015-07-20,5264765.210223592
2015-07-21,5069488.828166152
2015-07-22,4780388.437081335
2015-07-23,4666884.622656934
2015-07-24,5611464.071825132
2015-07-25,7266509.1162435375
2015-07-26,6225750.161599557
2015-07-27,5128476.732281386
2015-07-28,4941203.530957971
2015-07-29,4743095.684888577
2015-07-30,4598354.067661471
2015-07-31,5540225.484414155
2015-08-01,7159829.768207762
2015-08-02,5834412.925784308
2015-08-03,4849179.076963699
2015-08-04,4852799.30060908
2015-08-05,4853846.650988263
2015-08-06,4736556.25964652
2015-08-07,5951637.677366977
2015-08-08,7565655.2064265115
2015-08-09,6649063.162758814
2015-08-10,5617974.015393945
2015-08-11,5567978.968283814
2015-08-12,5311348.153015322
2015-08-13,5268421.530080476
2015-08-14,6075236.116780352
2015-08-15,7704388.4778678855
2015-08-16,6633786.359988984
2015-08-17,5619536.576471538
2015-08-18,5565467.8316396745
2015-08-19,5296397.126398015
2015-08-20,5102131.431423605
2015-08-21,6144554.818149807
2015-08-22,7672402.897899992
2015-08-23,6554659.980202722
2015-08-24,5587134.623543477
2015-08-25,5340496.651107355
2015-08-26,5115365.0938219065
2015-08-27,4963313.508929095
2015-08-28,5940409.009248652
2015-08-29,7407305.8206814155
2015-08-30,6520240.570946144
2015-08-31,5409783.299339896
2015-09-01,5259705.707225187
2015-09-02,4680912.688125941
2015-09-03,4558973.360363082
2015-09-04,5612728.3157626195
2015-09-05,7402268.821550712
2015-09-06,6641894.463949927
2015-09-07,5779460.096887339
2015-09-08,5635843.680813082
2015-09-09,5501124.926198958
2015-09-10,5353472.556940759
2015-09-11,6366376.082336083
2015-09-12,7929817.396902825
2015-09-13,7029722.654580091
2015-09-14,6088378.695221963
2015-09-15,5843187.090921286
2015-09-16,5641700.481831252
2015-09-17,5465768.918728382
2015-09-18,6463994.193540341
2015-09-19,8074661.57976935
2015-09-20,7103453.644606434
2015-09-21,6098518.928238814
2015-09-22,5822302.404375351
2015-09-23,5635988.411432375
2015-09-24,5385144.023570581
2015-09-25,6489160.55749678
2015-09-26,8021853.336915606
2015-09-27,6953927.570502584
2015-09-28,5951174.108847406
2015-09-29,5728556.137253083
2015-09-30,5547104.224774901
2015-10-01,5238242.829045969
2015-10-02,5895703.251054268
2015-10-03,7581939.231843243
2015-10-04,6745823.937242074
2015-10-05,5861246.178117821
2015-10-06,5909977.4646457285
2015-10-07,5715795.4881787775
2015-10-08,5699718.141884197
2015-10-09,6671853.852307411
2015-10-10,8240666.234240138
2015-10-11,7466770.1457798695
2015-10-12,6469036.316770212
2015-10-13,6227862.173197249
2015-10-14,6080528.153997094
2015-10-15,5866244.361539282
2015-10-16,6768506.241972425
2015-10-17,8419255.365681302
2015-10-18,7493634.609191927
2015-10-19,6363386.811487957
2015-10-20,6343314.088525642
2015-10-21,6149615.58926392
2015-10-22,5912161.583602556
2015-10-23,6878616.858565047
2015-10-24,8587598.998806795
2015-10-25,7552312.5528742615
2015-10-26,6456184.765041785
2015-10-27,6292926.789973722
2015-10-28,6095976.661366831
2015-10-29,5854939.518558216
2015-10-30,6792447.559065818
